Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
NIC ASIA Laghubitta Bittiya Sanstha Limited,447,1630.00,1590.20,1595.00,13485.00,21554026.70,1605.00,-10.00
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,323,1710.00,1668.00,1668.00,36940.00,61933141.00,1680.00,-12.00
NLG Insurance Company Ltd.,493,1240.00,1200.10,1205.20,38361.00,46684158.40,1198.18,7.02
NMB  Microfinance Bittiya Sanstha Ltd.,91,1527.00,1492.00,1496.00,7980.00,11958034.20,1498.00,-2.00
NMB 50,48,17.70,17.36,17.60,1469540.00,25692135.00,17.50,0.10
NMB Bank Limited,886,493.00,485.50,485.50,131486.00,64188038.00,490.00,-4.50
NMB Hybrid Fund L-1,34,15.55,15.33,15.47,110720.00,1703208.74,15.47,0.00
NRN Infrastructure and Development Limited,588,771.00,736.00,755.00,61678.00,46152424.40,750.00,5.00
Oriental Hotels Limited,100,710.00,676.00,677.10,12463.00,8537633.00,687.00,-9.90
Panchakanya Mai Hydropower Ltd,274,362.00,342.10,351.00,31458.00,10999877.50,356.00,-5.00
Panchthar Power Compant Limited,204,449.00,432.00,438.00,24678.00,10848105.50,439.00,-1.00
Pokhara Finance Ltd.,497,750.00,725.20,727.00,95864.00,70541804.80,740.00,-13.00
Prabhu  Bank Limited,1012,495.00,488.00,489.60,239973.00,117653949.50,493.00,-3.40
Prabhu Insurance Ltd.,469,1148.00,1104.00,1115.00,69638.00,77761780.00,1140.00,-25.00
Prabhu Life Insurance Limited,908,830.00,791.10,803.00,31908.00,25935046.50,812.00,-9.00
Prabhu Select Fund,88,10.70,10.40,10.58,249100.00,2619381.50,10.61,-0.03
Premier Insurance Co. Ltd.,229,1316.80,1266.00,1270.00,18848.00,24169196.60,1291.00,-21.00
Prime Commercial Bank Ltd.,753,516.00,505.90,509.00,136093.00,69459273.20,513.00,-4.00
Prime Life Insurance Company Limited,280,1079.00,1030.00,1031.00,36080.00,37934594.80,1060.00,-29.00
ProgressiveFinance Limited,1530,494.00,444.00,470.00,334828.00,157351814.60,459.00,10.00
Prudential Insurance Co. Ltd.,266,920.00,880.00,894.00,29351.00,26293381.60,910.00,-16.00
Radhi Bidyut Company Ltd,686,899.00,872.00,883.00,57842.00,51053301.10,889.00,-6.00
Rairang Hydropower Development Company Ltd.,525,498.70,471.00,475.00,91239.00,43809758.00,489.00,-14.00
Rastriya Beema Company Limited,81,21790.00,21000.00,21150.00,1155.00,24492664.60,21090.00,60.00
Rastriya Beema Company Limited Promoter Share,39,17480.00,16513.00,16999.00,1090.00,18281730.50,17329.90,-330.90
RASUWAGADHI HYDROPOWER COMPANY LIMITED,929,523.10,501.00,507.00,122214.00,62088215.60,511.00,-4.00
Reliance Finance Ltd.,700,611.80,590.00,601.00,183255.00,110305317.30,599.00,2.00
Reliance Life Insurance Limited,628,734.00,710.00,711.20,26987.00,19445549.90,722.00,-10.80
Ridi Hydropower Development Company Ltd.,1534,729.30,652.00,729.00,313954.00,224264944.40,663.00,66.00
RMDC Laghubitta Bittiya Sanstha Ltd.,194,1467.00,1430.00,1432.00,20238.00,29190868.90,1449.00,-17.00
RSDC Laghubitta Bittiya Sanstha Ltd.,126,885.00,870.00,877.00,8371.00,7347257.20,879.00,-2.00
Ru Ru Jalbidhyut Pariyojana Limited,111,999.60,965.00,999.00,4385.00,4280664.50,1002.00,-3.00
SABAIKO LAGHUBITTA BITTIYA SANSTHA LIMITED,104,2075.00,1993.00,2010.00,7532.00,15303239.70,2015.00,-5.00
Sadhana Laghubitta Bittiya Sanstha Limited,116,1871.00,1800.00,1830.00,5004.00,9185644.90,1835.00,-5.00
Sagarmatha Insurance Co. Ltd.,150,1540.00,1525.00,1530.00,14843.00,22721444.00,1524.00,6.00
Salt Trading Corporation,89,10700.00,10580.00,10580.00,1670.00,17740232.00,10565.00,15.00
Samata Gharelu Laghubitta Bittiya Sanstha Limited,50,1730.00,1700.00,1714.00,3719.00,6369245.00,1700.00,14.00
Samriddhi Finance Company Limited,348,550.00,525.00,531.00,64174.00,34557551.00,527.00,4.00
Samudayik Laghubitta Bittiya Sanstha Limited,186,1785.00,1667.00,1680.00,11905.00,20471687.20,1701.00,-21.00
Sana Kisan Bikas Bank Ltd,252,1889.00,1815.00,1843.00,25360.00,46503089.40,1852.00,-9.00
Sanima Bank Limited,552,542.10,534.00,536.00,99302.00,53455581.00,539.00,-3.00
Sanima Equity Fund,59,19.58,19.19,19.19,344141.00,6648031.27,19.55,-0.36
Sanima General Insurance Limited,361,811.00,780.00,780.20,18013.00,14240793.70,789.90,-9.70
Sanima Large Cap Fund,61,10.75,10.26,10.70,40160.00,425892.90,10.59,0.11
Sanima Mai Hydropower Ltd.,1043,607.00,591.00,599.90,281412.00,168484265.10,596.00,4.00
SANJEN JALAVIDHYUT COMPANY LIMITED,608,475.00,456.00,457.20,67389.00,31140807.00,468.00,-10.80
Saptakoshi Development Bank Ltd,1539,429.90,395.00,422.00,300456.00,125418712.90,392.00,30.00
